#id, 楼层, 上/下按钮, 要去几层, 读取下一条数据间隔时间
1,15,UP,18,18
2,14,DOWN,12,21
3,14,UP,18,5
4,18,DOWN,2,23
5,21,DOWN,7,15
6,23,DOWN,3,4
7,9,UP,15,12
8,13,DOWN,7,7
9,13,DOWN,10,22
10,8,UP,21,5
11,16,DOWN,1,9
12,24,DOWN,2,13
13,2,UP,24,11
14,20,DOWN,9,18
15,15,DOWN,13,18
16,24,DOWN,20,13
17,14,UP,23,13
18,14,DOWN,10,17
19,1,UP,23,5
20,10,UP,24,4
21,23,DOWN,1,12
22,10,DOWN,5,21
23,2,DOWN,1,18
24,1,UP,20,6
25,7,DOWN,5,7
26,4,UP,18,3
27,15,DOWN,4,3
28,19,DOWN,4,13
29,11,DOWN,8,10
30,15,DOWN,14,12
31,22,DOWN,9,8
32,18,DOWN,15,21
33,24,DOWN,14,7
34,3,UP,7,12
35,20,DOWN,17,4
36,2,UP,17,12
37,21,DOWN,1,10
38,12,DOWN,8,22
39,7,DOWN,2,16
40,15,DOWN,8,6
41,19,DOWN,4,15
42,17,DOWN,8,4
43,2,UP,19,22
44,1,UP,7,18
45,7,UP,17,11
46,1,UP,3,10
47,11,DOWN,8,9
48,17,UP,20,14
49,8,UP,22,5
50,23,DOWN,4,8
51,18,DOWN,3,21
52,17,DOWN,4,14
53,1,UP,13,19
54,21,DOWN,9,12
55,21,DOWN,11,24
56,2,UP,24,8
57,24,DOWN,16,20
58,11,UP,23,8
59,13,UP,20,23
60,2,UP,12,9
61,12,UP,22,4
62,2,UP,6,21
63,18,DOWN,3,14
64,1,UP,5,14
65,12,UP,13,13
66,10,UP,15,10
67,17,UP,20,7
68,8,UP,24,16
69,20,UP,21,1
70,12,UP,17,21
71,6,DOWN,1,10
72,14,DOWN,3,7
73,3,UP,6,13
74,20,DOWN,11,11
75,5,UP,17,21
76,23,DOWN,3,17
77,23,DOWN,15,8
78,15,DOWN,11,22
79,20,DOWN,11,11
80,10,UP,21,16
81,17,UP,19,1
82,13,DOWN,3,3
83,22,DOWN,15,23
84,1,UP,22,20
85,24,DOWN,22,19
86,22,DOWN,3,23
87,12,UP,18,9
88,14,DOWN,9,14
89,18,DOWN,1,24
90,4,UP,21,13
91,21,DOWN,16,7
92,16,UP,22,10
93,7,UP,11,24
94,20,DOWN,10,5
95,22,DOWN,20,5
96,1,UP,4,6
97,18,DOWN,5,11
98,2,UP,17,21
99,21,DOWN,5,7
100,5,UP,15,7
101,4,UP,16,23
102,16,DOWN,6,7
103,10,UP,15,11
104,9,DOWN,8,17
105,4,DOWN,3,20
106,2,UP,22,5
107,19,DOWN,4,2
108,17,DOWN,14,1
109,11,DOWN,8,19
110,22,UP,23,3
111,21,DOWN,6,15
112,19,DOWN,3,15
113,17,DOWN,5,6
114,14,UP,21,6
115,12,DOWN,10,4
116,14,DOWN,2,7
117,4,UP,20,23
118,18,DOWN,16,22
119,19,DOWN,12,4
120,3,UP,22,5
121,22,DOWN,16,21
122,6,DOWN,1,11
123,7,DOWN,2,19
124,15,DOWN,6,10
125,6,UP,20,8
126,20,DOWN,4,18
127,5,UP,23,19
128,18,DOWN,11,14
129,8,DOWN,1,22
130,14,UP,16,18
131,11,UP,22,1
132,23,DOWN,19,18
133,23,DOWN,20,21
134,4,UP,18,8
135,12,UP,24,13
136,16,DOWN,8,17
137,9,DOWN,2,16
138,21,DOWN,16,3
139,5,DOWN,3,14
140,13,UP,17,4
141,18,DOWN,17,14
142,13,DOWN,10,13
143,20,DOWN,7,4
144,18,DOWN,9,17
145,4,UP,14,3
146,3,UP,7,15
147,7,UP,8,10
148,15,DOWN,14,7
149,3,UP,23,13
150,22,UP,23,10
151,2,UP,22,12
152,19,DOWN,14,6
153,13,DOWN,3,17
154,21,DOWN,1,10
155,13,DOWN,12,16
156,23,DOWN,16,7
157,19,DOWN,18,17
158,19,DOWN,7,15
159,22,DOWN,11,21
160,5,UP,24,21
161,2,UP,20,12
162,9,UP,22,22
163,14,DOWN,2,3
164,12,UP,20,13
165,12,UP,17,20
166,22,UP,23,3
167,11,DOWN,10,17
168,5,UP,19,15
169,4,DOWN,2,16
170,8,UP,15,5
171,16,DOWN,13,18
172,4,UP,5,15
173,21,DOWN,2,24
174,8,DOWN,4,3
175,3,UP,17,9
176,10,UP,18,21
177,22,DOWN,7,7
178,11,UP,21,20
179,2,UP,17,14
180,6,UP,17,11
181,12,UP,17,1
182,3,UP,20,12
183,17,UP,19,11
184,20,UP,24,22
185,11,DOWN,5,3
186,12,DOWN,10,10
187,12,DOWN,4,16
188,5,DOWN,1,20
189,2,UP,19,16
190,11,UP,24,23
191,13,UP,24,23
192,22,DOWN,16,4
193,3,DOWN,2,14
194,10,UP,21,16
195,2,UP,6,21
196,5,UP,23,3
197,21,DOWN,5,4
198,23,DOWN,1,12
199,5,UP,9,14
200,13,DOWN,11,3
