#id, 楼层, 上/下按钮, 要去几层, 本条数据生效的间隔时间
1,13,UP,14,6
2,14,DOWN,11,2
3,8,UP,10,1
4,14,DOWN,6,6
5,14,DOWN,1,3
6,14,DOWN,11,2
7,8,UP,20,3
8,22,DOWN,1,2
9,4,UP,24,1
10,4,UP,13,4
11,14,DOWN,13,1
12,3,UP,19,4
13,2,UP,17,2
14,4,UP,9,5
15,4,UP,7,3
16,23,DOWN,11,1
17,11,UP,19,4
18,13,DOWN,11,6
19,18,DOWN,16,4
20,3,UP,10,6
21,20,DOWN,8,1
22,20,UP,24,6
23,18,DOWN,4,2
24,7,DOWN,2,6
25,5,UP,17,5
26,11,UP,13,5
27,22,DOWN,2,1
28,15,UP,22,6
29,23,DOWN,15,6
30,5,UP,19,3
31,21,DOWN,6,1
32,11,UP,15,5
33,18,DOWN,1,1
34,23,DOWN,7,5
35,13,DOWN,2,5
36,14,DOWN,8,5
37,17,UP,24,3
38,17,DOWN,13,3
39,22,DOWN,11,4
40,18,DOWN,16,4
41,18,DOWN,11,3
42,13,DOWN,1,2
43,5,DOWN,2,1
44,19,DOWN,9,2
45,22,DOWN,21,6
46,16,DOWN,7,1
47,19,DOWN,18,3
48,12,UP,17,1
49,4,UP,8,5
50,1,UP,21,6
51,20,DOWN,6,1
52,2,UP,12,1
53,2,UP,8,5
54,22,DOWN,1,4
55,4,UP,7,3
56,9,DOWN,6,2
57,16,UP,18,1
58,21,DOWN,12,3
59,4,UP,15,2
60,18,DOWN,5,4
61,23,UP,24,2
62,12,DOWN,5,1
63,3,UP,7,5
64,22,DOWN,20,3
65,22,DOWN,3,4
66,14,UP,18,6
67,24,DOWN,18,2
68,11,DOWN,10,5
69,12,DOWN,8,5
70,17,DOWN,3,4
71,13,UP,17,3
72,18,DOWN,9,2
73,19,DOWN,12,5
74,5,DOWN,3,2
75,24,DOWN,4,4
76,7,UP,23,2
77,7,UP,19,3
78,22,DOWN,1,4
79,1,UP,16,5
80,15,DOWN,1,1
81,3,UP,19,2
82,2,UP,10,3
83,7,UP,19,1
84,21,DOWN,13,1
85,20,DOWN,19,2
86,16,UP,24,1
87,10,DOWN,3,4
88,12,UP,22,5
89,2,UP,7,4
90,16,DOWN,1,2
91,23,DOWN,22,4
92,13,DOWN,2,2
93,10,DOWN,5,2
94,4,DOWN,2,1
95,5,UP,23,6
96,2,DOWN,1,1
97,3,UP,13,4
98,19,DOWN,18,4
99,24,DOWN,1,6
100,2,UP,8,5
101,3,UP,22,5
102,8,UP,13,4
103,19,DOWN,4,4
104,21,DOWN,9,1
105,21,DOWN,3,6
106,8,UP,20,1
107,21,DOWN,12,6
108,16,UP,19,4
109,19,UP,21,1
110,14,UP,15,2
111,3,UP,22,3
112,3,UP,9,1
113,14,DOWN,13,3
114,12,DOWN,3,3
115,6,UP,24,2
116,3,UP,12,6
117,3,UP,14,3
118,12,UP,20,1
119,10,DOWN,1,1
120,4,UP,9,6
121,5,UP,13,6
122,4,UP,17,3
123,17,DOWN,6,4
124,4,UP,9,3
125,15,UP,20,3
126,6,UP,22,5
127,4,UP,10,6
128,15,DOWN,9,5
129,1,UP,10,5
130,13,DOWN,9,6
131,23,DOWN,4,4
132,16,DOWN,11,1
133,8,DOWN,5,2
134,2,UP,13,5
135,4,UP,15,5
136,13,UP,24,3
137,21,DOWN,10,2
138,17,DOWN,5,2
139,13,DOWN,5,5
140,17,DOWN,5,1
141,24,DOWN,15,5
142,4,DOWN,1,1
143,5,DOWN,2,5
144,19,DOWN,7,2
145,16,DOWN,11,4
146,1,UP,12,3
147,21,UP,24,5
